Date,Open,High,Low,Close,Volume
20171207,2628.379883,2640.98999,2626.530029,2636.97998,3292400000
20171208,2646.209961,2651.649902,2644.100098,2651.5,3106150000
20171211,2652.189941,2660.330078,2651.469971,2659.98999,3091950000
20171212,2661.72998,2669.719971,2659.780029,2664.110107,3555680000
20171213,2667.590088,2671.879883,2662.850098,2662.850098,3542370000
20171214,2665.870117,2668.090088,2652.01001,2652.01001,3430030000
20171215,2660.629883,2679.629883,2659.139893,2675.810059,5723920000
20171218,2685.919922,2694.969971,2685.919922,2690.159912,3724660000
20171219,2692.709961,2694.439941,2680.73999,2681.469971,3368590000
20171220,2688.179932,2691.01001,2676.110107,2679.25,3241030000
20171221,2683.02002,2692.639893,2682.399902,2684.570068,3273390000
20171222,2684.219971,2685.350098,2678.129883,2683.340088,2399830000
20171226,2679.090088,2682.73999,2677.959961,2680.5,1968780000
20171227,2682.100098,2685.639893,2678.909912,2682.620117,2202080000
20171228,2686.100098,2687.659912,2682.689941,2687.540039,2153330000
20171229,2689.149902,2692.120117,2673.610107,2673.610107,2443490000
20180102,2683.72998,2695.889893,2682.360107,2695.810059,3367250000
20180103,2697.850098,2714.370117,2697.77002,2713.060059,3538660000
20180104,2719.310059,2729.290039,2719.070068,2723.98999,3695260000
20180105,2731.330078,2743.449951,2727.919922,2743.149902,3236620000
20180108,2742.669922,2748.51001,2737.600098,2747.709961,3242650000
20180109,2751.149902,2759.139893,2747.860107,2751.290039,3453480000
20180110,2745.550049,2750.800049,2736.060059,2748.22998,3576350000
20180111,2752.969971,2767.560059,2752.780029,2767.560059,3641320000
20180112,2770.179932,2787.850098,2769.639893,2786.23999,3573970000
20180116,2798.959961,2807.540039,2768.639893,2776.419922,4325970000
20180117,2784.98999,2807.040039,2778.379883,2802.560059,3778050000
20180118,2802.399902,2805.830078,2792.560059,2798.030029,3681470000
20180119,2802.600098,2810.330078,2798.080078,2810.300049,3639430000
20180122,2809.159912,2833.030029,2808.120117,2832.969971,3471780000
20180123,2835.050049,2842.23999,2830.590088,2839.129883,3519650000
20180124,2845.419922,2852.969971,2824.810059,2837.540039,4014070000
20180125,2846.23999,2848.560059,2830.939941,2839.25,3835150000
20180126,2847.47998,2872.870117,2846.179932,2872.870117,3443230000
20180129,2867.22998,2870.620117,2851.47998,2853.530029,3573830000
20180130,2832.73999,2837.75,2818.27002,2822.429932,3990650000
20180131,2832.409912,2839.26001,2813.040039,2823.810059,4261280000
20180201,2816.449951,2835.959961,2812.699951,2821.97998,3938450000
20180202,2808.919922,2808.919922,2759.969971,2762.129883,4301130000
20180205,2741.060059,2763.389893,2638.169922,2648.939941,5283460000
20180206,2614.780029,2701.040039,2593.070068,2695.139893,5891660000
20180207,2690.949951,2727.669922,2681.330078,2681.659912,4626570000
20180208,2685.01001,2685.27002,2580.560059,2581,5305440000
20180209,2601.780029,2638.669922,2532.689941,2619.550049,5680070000
20180212,2636.75,2672.610107,2622.449951,2656,4055790000
20180213,2646.27002,2668.840088,2637.080078,2662.939941,3472870000
20180214,2651.209961,2702.100098,2648.870117,2698.629883,4003740000
20180215,2713.459961,2731.51001,2689.820068,2731.199951,3684910000
20180216,2727.139893,2754.419922,2725.110107,2732.219971,3637460000
20180220,2722.98999,2737.600098,2706.76001,2716.26001,3627610000
20180221,2720.530029,2747.75,2701.290039,2701.330078,3779400000
20180222,2710.419922,2731.26001,2697.77002,2703.959961,3701270000
20180223,2715.800049,2747.76001,2713.73999,2747.300049,3189190000
20180226,2757.370117,2780.639893,2753.780029,2779.600098,3424650000
20180227,2780.449951,2789.149902,2744.219971,2744.280029,3745080000
20180228,2753.780029,2761.52002,2713.540039,2713.830078,4230660000
20180301,2715.219971,2730.889893,2659.649902,2677.669922,4503970000
20180302,2658.889893,2696.25,2647.320068,2691.25,3882450000
20180305,2681.060059,2728.090088,2675.75,2720.939941,3710810000
20180306,2730.179932,2732.080078,2711.26001,2728.120117,3370690000
20180307,2710.179932,2730.600098,2701.73999,2726.800049,3393270000
20180308,2732.75,2740.449951,2722.649902,2738.969971,3212320000
20180309,2752.909912,2786.570068,2751.540039,2786.570068,3364100000
20180312,2790.540039,2796.97998,2779.26001,2783.02002,3185020000
20180313,2792.310059,2801.899902,2758.679932,2765.310059,3301650000
20180314,2774.060059,2777.110107,2744.379883,2749.47998,3391360000
20180315,2754.27002,2763.030029,2741.469971,2747.330078,3500330000
20180316,2750.570068,2761.850098,2749.969971,2752.01001,5372340000
20180319,2741.379883,2741.379883,2694.590088,2712.919922,3302130000
20180320,2715.050049,2724.219971,2710.050049,2716.939941,3261030000
20180321,2714.98999,2739.139893,2709.790039,2711.929932,3415510000
20180322,2691.360107,2695.679932,2641.590088,2643.689941,3739800000
20180323,2646.709961,2657.669922,2585.889893,2588.26001,3815080000
20180326,2619.350098,2661.360107,2601.810059,2658.550049,3511100000
20180327,2667.570068,2674.780029,2596.120117,2612.620117,3706350000
20180328,2611.300049,2632.649902,2593.060059,2605,3864500000
20180329,2614.409912,2659.070068,2609.719971,2640.870117,3565990000
20180402,2633.449951,2638.300049,2553.800049,2581.879883,3598520000
20180403,2592.169922,2619.139893,2575.48999,2614.449951,3392810000
20180404,2584.040039,2649.860107,2573.610107,2644.689941,3350340000
20180405,2657.360107,2672.080078,2649.580078,2662.840088,3178970000
20180406,2645.820068,2656.879883,2586.27002,2604.469971,3299700000
20180409,2617.179932,2653.550049,2610.790039,2613.159912,3062960000
20180410,2638.409912,2665.449951,2635.780029,2656.870117,3543930000
20180411,2643.889893,2661.429932,2639.25,2642.189941,3020760000
20180412,2653.830078,2674.719971,2653.830078,2663.98999,3021320000
20180413,2676.899902,2680.26001,2645.050049,2656.300049,2960910000
20180416,2670.100098,2686.48999,2665.159912,2677.840088,3019700000
20180417,2692.73999,2713.340088,2692.050049,2706.389893,3234360000
20180418,2710.110107,2717.48999,2703.629883,2708.639893,3383410000
20180419,2701.159912,2702.840088,2681.899902,2693.129883,3349370000
20180420,2692.560059,2693.939941,2660.610107,2670.139893,3388590000
20180423,2675.399902,2682.860107,2657.98999,2670.290039,3017480000
20180424,2680.800049,2683.550049,2617.320068,2634.560059,3706740000
20180425,2634.919922,2645.300049,2612.669922,2639.399902,3499440000
20180426,2651.649902,2676.47998,2647.159912,2666.939941,3665720000
20180427,2675.469971,2677.350098,2659.01001,2669.909912,3219030000
20180430,2682.51001,2682.870117,2648.040039,2648.050049,3734530000
20180501,2642.959961,2655.27002,2625.409912,2654.800049,3559850000
20180502,2654.23999,2660.870117,2631.699951,2635.669922,4010770000
20180503,2628.080078,2637.139893,2594.620117,2629.72998,3851470000
20180504,2621.449951,2670.929932,2615.320068,2663.419922,3327220000
20180507,2680.340088,2683.350098,2664.699951,2672.629883,3237960000
20180508,2670.26001,2676.340088,2655.199951,2671.919922,3717570000
20180509,2678.120117,2701.27002,2674.139893,2697.790039,3909500000
20180510,2705.02002,2726.110107,2704.540039,2723.070068,3333050000
20180511,2722.699951,2732.860107,2717.449951,2727.719971,2862700000
20180514,2738.469971,2742.100098,2725.469971,2730.129883,2972660000
20180515,2718.590088,2718.590088,2701.909912,2711.449951,3290680000
20180516,2712.620117,2727.76001,2712.169922,2722.459961,3202670000
20180517,2719.709961,2731.959961,2711.360107,2720.129883,3475400000
20180518,2717.350098,2719.5,2709.179932,2712.969971,3368690000
20180521,2735.389893,2739.189941,2725.699951,2733.01001,3019890000
20180522,2738.340088,2742.23999,2721.879883,2724.439941,3366310000
20180523,2713.97998,2733.330078,2709.540039,2733.290039,3326290000
20180524,2730.939941,2731.969971,2707.379883,2727.76001,3256030000
20180525,2723.600098,2727.360107,2714.98999,2721.330078,2995260000
20180529,2705.110107,2710.669922,2676.810059,2689.860107,3736890000
20180530,2702.429932,2729.340088,2702.429932,2724.01001,3561050000
20180531,2720.97998,2722.5,2700.679932,2705.27002,4235370000
20180601,2718.699951,2736.929932,2718.699951,2734.620117,3684130000
